class_type,wristX,wristY,wristZ,thumb_CmcX,thumb_CmcY,thumb_CmcZ,thumb_McpX,thumb_McpY,thumb_McpZ,thumb_IpX,thumb_IpY,thumb_IpZ,thumb_TipX,thumb_TipY,thumb_TipZ,index_McpX,index_McpY,index_McpZ,index_PipX,index_PipY,index_PipZ,index_DipX,index_DipY,index_DipZ,index_TipX,index_TipY,index_TipZ,middle_McpX,middle_McpY,middle_McpZ,middle_PipX,middle_PipY,middle_PipZ,middle_DipX,middle_DipY,middle_DipZ,middle_TipX,middle_TipY,middle_TipZ,ring_McpX,ring_McpY,ring_McpZ,ring_PipX,ring_PipY,ring_PipZ,ring_DipX,ring_DipY,ring_DipZ,ring_TipX,ring_TipY,ring_TipZ,pinky_McpX,pinky_McpY,pinky_McpZ,pinky_PipX,pinky_PipY,pinky_PipZ,pinky_DipX,pinky_DipY,pinky_DipZ,pinky_TipX,pinky_TipY,pinky_TipZ
A,77.3635482788086,558.2036590576172,-5.207517119742988e-07,126.04976177215576,545.7921600341797,-0.027789102867245674,166.78314685821533,504.3788146972656,-0.030556699261069298,186.1581802368164,467.1211242675781,-0.03303030505776405,198.52854251861572,436.75426483154297,-0.026157910004258156,152.09020614624023,455.0201416015625,0.004828395321965218,173.04941654205322,433.99436950683594,-0.03179292753338814,157.43977546691895,473.0508804321289,-0.045952923595905304,145.12822151184082,484.80064392089844,-0.04875423386693001,124.86292362213135,446.81785583496094,0.004147578962147236,143.34028244018555,430.82263946533203,-0.03272022306919098,130.00030517578125,475.2100372314453,-0.03799828886985779,119.76012468338013,478.6154556274414,-0.03285925090312958,95.26212215423584,445.7151794433594,-0.0044714356772601604,113.1824254989624,429.403076171875,-0.04608818143606186,105.25238513946533,471.01795196533203,-0.02910712920129299,95.1190710067749,474.6489715576172,-0.007366177625954151,63.420231342315674,448.1133270263672,-0.014933010563254356,83.28612327575684,434.5986557006836,-0.03852995112538338,82.07039594650269,462.2060012817383,-0.018673384562134743,71.9757342338562,466.8217468261719,0.0031443145126104355
A,406.00719451904297,558.0093383789062,-1.089191187020333e-06,353.8688850402832,544.065055847168,-0.017564646899700165,313.2228469848633,501.92028045654297,-0.019783351570367813,292.70931243896484,464.8002624511719,-0.028231222182512283,277.1546745300293,435.2159118652344,-0.028382163494825363,325.0447940826416,455.6722640991211,0.03232739493250847,307.3743724822998,436.55529022216797,-0.01758674532175064,318.8917922973633,472.01488494873047,-0.044621895998716354,330.54553985595703,488.973388671875,-0.053715433925390244,352.9552745819092,447.4910354614258,0.021817071363329887,334.12261962890625,431.67320251464844,-0.024844715371727943,344.49036598205566,474.54627990722656,-0.033230580389499664,355.4311466217041,480.75252532958984,-0.025768008083105087,383.88084411621094,445.30452728271484,-6.087752990424633e-05,365.2529811859131,430.27538299560547,-0.04536769539117813,370.2516460418701,470.7178497314453,-0.025342805311083794,380.61967849731445,476.5219497680664,0.0018100837478414178,416.0489559173584,447.2649383544922,-0.02518572099506855,397.1869468688965,433.3570098876953,-0.04206228256225586,393.7744903564453,462.57225036621094,-0.019379260018467903,401.6763210296631,470.04730224609375,0.004494308028370142
A,93.19443941116333,524.6119689941406,-1.0040374718300882e-06,148.90098094940186,478.70105743408203,-0.0511801652610302,196.74706935882568,419.4963836669922,-0.08093253523111343,222.8589677810669,369.68624114990234,-0.10920164734125137,204.2446517944336,329.13806915283203,-0.12249598652124405,133.06574821472168,338.64585876464844,-0.03313963860273361,183.81012439727783,328.0125045776367,-0.10552669316530228,170.32866954803467,385.5270004272461,-0.13480006158351898,147.59502410888672,389.69112396240234,-0.14678257703781128,96.2677788734436,336.41979217529297,-0.039491165429353714,145.618257522583,341.4646911621094,-0.11432016640901566,135.15226364135742,406.8315887451172,-0.12533193826675415,114.94598865509033,399.8952102661133,-0.1209329143166542,60.55644750595093,346.1735534667969,-0.05634375661611557,108.45437049865723,344.60391998291016,-0.13737383484840393,103.99593830108643,408.14701080322266,-0.11410768330097198,83.61929655075073,407.2044372558594,-0.08250895142555237,24.4067645072937,361.6621780395508,-0.07670426368713379,69.32414531707764,359.4889450073242,-0.12173034250736237,72.6161241531372,403.2537078857422,-0.09550164639949799,54.25352096557617,409.0313720703125,-0.06544187664985657
A,396.06164932250977,521.1985778808594,-1.899014819173317e-06,326.9252872467041,475.02452850341797,-0.030601851642131805,277.6285743713379,415.97862243652344,-0.05300792306661606,255.63603401184082,365.90160369873047,-0.08358757942914963,272.7759647369385,324.45533752441406,-0.10080622881650925,351.4669418334961,329.7754669189453,0.015056383796036243,297.3285484313965,327.9665756225586,-0.052338991314172745,309.55055236816406,388.57051849365234,-0.08336000144481659,330.89298248291016,392.68165588378906,-0.09934625774621964,387.0999526977539,331.8935012817383,-0.0034950377885252237,334.2329692840576,338.05553436279297,-0.0771530270576477,342.8975200653076,405.8919143676758,-0.07537409663200378,364.89529609680176,400.3456497192383,-0.05889146775007248,423.2853698730469,343.6628723144531,-0.03626387193799019,374.1445541381836,344.6819305419922,-0.11511282622814178,375.3611469268799,410.37742614746094,-0.07064908742904663,398.21863174438477,409.8025131225586,-0.02170664072036743,457.7699661254883,363.55281829833984,-0.0743933692574501,417.3416519165039,357.3008728027344,-0.11247324198484421,406.049280166626,402.93956756591797,-0.07683460414409637,422.56336212158203,409.6641540527344,-0.039344362914562225
A,89.22428369522095,502.99835205078125,-8.302673677462735e-07,150.22790908813477,454.87606048583984,-0.041438356041908264,193.83573532104492,389.0032196044922,-0.062329892069101334,215.86435317993164,338.3005905151367,-0.08311142027378082,202.0462989807129,297.76058197021484,-0.09098806977272034,128.21449756622314,325.6426239013672,-0.023491838946938515,171.45441055297852,307.6353454589844,-0.08485544472932816,160.24652481079102,363.47782135009766,-0.10747949033975601,138.87866020202637,368.27945709228516,-0.11550721526145935,93.11266422271729,325.1530456542969,-0.029990553855895996,134.30574417114258,316.1796760559082,-0.09229700267314911,128.0361270904541,382.24456787109375,-0.09736267477273941,110.95618486404419,376.8745803833008,-0.09135819971561432,58.161749839782715,333.80775451660156,-0.04598754271864891,101.10644817352295,319.3083190917969,-0.11812040209770203,100.44789791107178,382.4006652832031,-0.09018100798130035,81.60341262817383,383.8827896118164,-0.05725875124335289,21.103334426879883,347.1275329589844,-0.06446030735969543,63.133957386016846,333.9350128173828,-0.10551721602678299,69.17245388031006,376.1963653564453,-0.07548584789037704,50.943331718444824,384.212646484375,-0.04429282993078232
A,392.6249885559082,492.7283477783203,-1.9028387896469212e-06,330.1164436340332,456.80755615234375,-0.024811116978526115,282.4984359741211,395.06507873535156,-0.03984484449028969,262.9145622253418,341.39110565185547,-0.0627482533454895,278.96467208862305,298.1609916687012,-0.07507364451885223,352.2670555114746,319.5073890686035,0.010561681352555752,304.92868423461914,305.3961944580078,-0.05516819283366203,314.50927734375,364.35962677001953,-0.08030442893505096,333.68279457092285,373.03810119628906,-0.09043280780315399,388.69388580322266,321.4988327026367,-0.007866310887038708,337.042179107666,312.1222114562988,-0.07945264130830765,343.2157516479492,381.5012741088867,-0.07321099936962128,365.8608341217041,380.625,-0.052306871861219406,424.2087650299072,331.7458724975586,-0.03953932598233223,375.4489517211914,317.31712341308594,-0.12005557864904404,376.65035247802734,386.0833740234375,-0.07429105043411255,399.499454498291,389.34154510498047,-0.02261197566986084,458.6457824707031,348.7384796142578,-0.07480557262897491,416.05095863342285,332.49576568603516,-0.11826480180025101,406.86092376708984,381.8089294433594,-0.08292828500270844,424.0561866760254,391.7797088623047,-0.044844865798950195
A,94.55863952636719,500.8111572265625,-8.997000122690224e-07,151.2676477432251,455.83160400390625,-0.046307843178510666,193.0868911743164,396.2710189819336,-0.06918696314096451,216.15557670593262,348.7757873535156,-0.09041965752840042,206.44814014434814,305.60630798339844,-0.09770778566598892,126.92360401153564,325.65879821777344,-0.03169504180550575,174.2394733428955,310.87846755981445,-0.09421695023775101,164.3748378753662,366.29547119140625,-0.11564698070287704,142.73417472839355,371.6146469116211,-0.1225409284234047,93.23122501373291,324.8259735107422,-0.036869436502456665,139.959454536438,321.1550521850586,-0.10339780151844025,132.26228713989258,384.62432861328125,-0.11135446280241013,111.49593830108643,382.0579147338867,-0.10608522593975067,58.568501472473145,332.78167724609375,-0.05129282921552658,106.65583848953247,321.4971160888672,-0.12793083488941193,103.74584913253784,384.60506439208984,-0.10381665080785751,82.2796082496643,388.2876205444336,-0.071721151471138,21.80121660232544,346.36817932128906,-0.06807209551334381,69.55000877380371,333.1501770019531,-0.11259514838457108,74.4595456123352,376.55006408691406,-0.08461948484182358,54.75008726119995,386.6996383666992,-0.05329475924372673
A,393.8207244873047,496.31980895996094,-1.918201405715081e-06,328.5033416748047,456.544189453125,-0.021069779992103577,281.3898468017578,397.3308563232422,-0.03619430959224701,263.6444664001465,346.31092071533203,-0.06052766367793083,277.76350021362305,304.5217704772949,-0.07360401004552841,352.2666263580322,320.76892852783203,0.017880944535136223,302.65663146972656,308.8847351074219,-0.04671905189752579,314.1218662261963,368.61515045166016,-0.07454399019479752,334.14748191833496,377.0327377319336,-0.08718053251504898,387.5500774383545,322.81200408935547,-0.0029598157852888107,335.41460037231445,315.612850189209,-0.07379068434238434,343.58728408813477,383.56273651123047,-0.07008384168148041,366.3450050354004,382.5913619995117,-0.051895976066589355,422.63614654541016,331.76769256591797,-0.03689990192651749,372.8517436981201,318.77342224121094,-0.11269623041152954,374.25787925720215,385.5455780029297,-0.06702665239572525,397.1234321594238,389.25304412841797,-0.017133664339780807,457.82901763916016,348.41175079345703,-0.07490359991788864,415.59242248535156,331.90216064453125,-0.11286313086748123,404.68663215637207,379.79373931884766,-0.07577569782733917,420.81653594970703,391.23485565185547,-0.037389565259218216
A,77.89177894592285,476.9700622558594,-8.690666959410009e-07,133.85657787322998,437.3363494873047,-0.03829551488161087,176.62270545959473,377.1751403808594,-0.05508023872971535,201.94912433624268,329.7596740722656,-0.07301116734743118,195.43310165405273,286.06237411499023,-0.07872019708156586,126.52732372283936,318.2819366455078,-0.01301437895745039,168.18171501159668,292.5180435180664,-0.07565348595380783,158.24624061584473,345.8810043334961,-0.0989207923412323,138.2333278656006,351.7057800292969,-0.106543630361557,92.64983654022217,316.8155860900879,-0.022252608090639114,132.77639865875244,297.5636291503906,-0.0913807600736618,126.27655506134033,362.54451751708984,-0.10126055777072906,105.84655523300171,362.0827102661133,-0.09493104368448257,56.668102741241455,323.25000762939453,-0.041429076343774796,96.36860847473145,298.3675193786621,-0.11920978128910065,95.53340435028076,362.8921890258789,-0.09190148860216141,75.14440298080444,368.0066680908203,-0.05630430951714516,17.140796184539795,335.0209426879883,-0.06237868219614029,58.1855034828186,313.8154602050781,-0.10750770568847656,64.36131477355957,358.7165069580078,-0.07603202015161514,46.277503967285156,370.25230407714844,-0.04179949685931206
A,401.20811462402344,472.0866394042969,-1.852809305091796e-06,339.95678901672363,436.9728088378906,-0.022620003670454025,293.75518798828125,377.1048355102539,-0.033745795488357544,277.3687934875488,325.20076751708984,-0.053008150309324265,288.45977783203125,282.2611999511719,-0.06088021397590637,356.2123489379883,310.4819869995117,0.02070056088268757,315.44654846191406,289.41165924072266,-0.04462353140115738,324.1328430175781,347.19608306884766,-0.07158681005239487,341.4696979522705,358.01464080810547,-0.08208852261304855,390.66309928894043,312.6199722290039,0.0027395361103117466,346.7482280731201,293.8777160644531,-0.06831394135951996,352.17610359191895,360.7189178466797,-0.06537796556949615,373.06034088134766,363.20945739746094,-0.045491136610507965,425.36118507385254,320.16475677490234,-0.02896728739142418,383.2575988769531,297.2331237792969,-0.10865487903356552,383.6382579803467,365.39417266845703,-0.06654315441846848,404.8063373565674,372.75562286376953,-0.016290873289108276,461.6913414001465,334.5424270629883,-0.0640542060136795,424.65763092041016,310.2287292480469,-0.10848067700862885,414.50809478759766,359.8786926269531,-0.07445286959409714,429.15553092956543,375.1342010498047,-0.03597844019532204
